C:\Users\sahmed1\Desktop\Data\IMG\center_2023_01_24_12_43_32_499.jpg, C:\Users\sahmed1\Desktop\Data\IMG\left_2023_01_24_12_43_32_499.jpg, C:\Users\sahmed1\Desktop\Data\IMG\right_2023_01_24_12_43_32_499.jpg, 0, 0, 0, 8.233259E-05
C:\Users\sahmed1\Desktop\Data\IMG\center_2023_01_24_12_43_32_603.jpg, C:\Users\sahmed1\Desktop\Data\IMG\left_2023_01_24_12_43_32_603.jpg, C:\Users\sahmed1\Desktop\Data\IMG\right_2023_01_24_12_43_32_603.jpg, 0, 0, 0, 8.249989E-05
C:\Users\sahmed1\Desktop\Data\IMG\center_2023_01_24_12_43_32_704.jpg, C:\Users\sahmed1\Desktop\Data\IMG\left_2023_01_24_12_43_32_704.jpg, C:\Users\sahmed1\Desktop\Data\IMG\right_2023_01_24_12_43_32_704.jpg, 0, 0, 0, 8.244169E-05
C:\Users\sahmed1\Desktop\Data\IMG\center_2023_01_24_12_43_32_805.jpg, C:\Users\sahmed1\Desktop\Data\IMG\left_2023_01_24_12_43_32_805.jpg, C:\Users\sahmed1\Desktop\Data\IMG\right_2023_01_24_12_43_32_805.jpg, 0, 0, 0, 8.242775E-05
C:\Users\sahmed1\Desktop\Data\IMG\center_2023_01_24_12_43_32_906.jpg, C:\Users\sahmed1\Desktop\Data\IMG\left_2023_01_24_12_43_32_906.jpg, C:\Users\sahmed1\Desktop\Data\IMG\right_2023_01_24_12_43_32_906.jpg, 0, 0, 0, 8.280176E-05
C:\Users\sahmed1\Desktop\Data\IMG\center_2023_01_24_12_43_33_007.jpg, C:\Users\sahmed1\Desktop\Data\IMG\left_2023_01_24_12_43_33_007.jpg, C:\Users\sahmed1\Desktop\Data\IMG\right_2023_01_24_12_43_33_007.jpg, 0, 0, 0, 8.279568E-05
C:\Users\sahmed1\Desktop\Data\IMG\center_2023_01_24_12_43_33_108.jpg, C:\Users\sahmed1\Desktop\Data\IMG\left_2023_01_24_12_43_33_108.jpg, C:\Users\sahmed1\Desktop\Data\IMG\right_2023_01_24_12_43_33_108.jpg, 0, 0.2205819, 0, 0.1092446
C:\Users\sahmed1\Desktop\Data\IMG\center_2023_01_24_12_43_33_212.jpg, C:\Users\sahmed1\Desktop\Data\IMG\left_2023_01_24_12_43_33_212.jpg, C:\Users\sahmed1\Desktop\Data\IMG\right_2023_01_24_12_43_33_212.jpg, 0, 0.5295177, 0, 0.5776057
C:\Users\sahmed1\Desktop\Data\IMG\center_2023_01_24_12_43_33_315.jpg, C:\Users\sahmed1\Desktop\Data\IMG\left_2023_01_24_12_43_33_315.jpg, C:\Users\sahmed1\Desktop\Data\IMG\right_2023_01_24_12_43_33_315.jpg, -0.1766904, 0.8233745, 0, 1.409647
C:\Users\sahmed1\Desktop\Data\IMG\center_2023_01_24_12_43_33_416.jpg, C:\Users\sahmed1\Desktop\Data\IMG\left_2023_01_24_12_43_33_416.jpg, C:\Users\sahmed1\Desktop\Data\IMG\right_2023_01_24_12_43_33_416.jpg, -0.1861062, 1, 0, 2.756949
C:\Users\sahmed1\Desktop\Data\IMG\center_2023_01_24_12_43_33_521.jpg, C:\Users\sahmed1\Desktop\Data\IMG\left_2023_01_24_12_43_33_521.jpg, C:\Users\sahmed1\Desktop\Data\IMG\right_2023_01_24_12_43_33_521.jpg, 0, 1, 0, 3.927562
C:\Users\sahmed1\Desktop\Data\IMG\center_2023_01_24_12_43_33_623.jpg, C:\Users\sahmed1\Desktop\Data\IMG\left_2023_01_24_12_43_33_623.jpg, C:\Users\sahmed1\Desktop\Data\IMG\right_2023_01_24_12_43_33_623.jpg, 0, 1, 0, 5.09446
C:\Users\sahmed1\Desktop\Data\IMG\center_2023_01_24_12_43_33_724.jpg, C:\Users\sahmed1\Desktop\Data\IMG\left_2023_01_24_12_43_33_724.jpg, C:\Users\sahmed1\Desktop\Data\IMG\right_2023_01_24_12_43_33_724.jpg, -0.1198152, 1, 0, 6.246979
